host_shift_type,n
Sus scrofa → Homo sapiens,11
Homo sapiens → Sus scrofa,9
Homo sapiens → Anatidae,4
Homo sapiens → Gallus gallus,4
Anatidae → Gallus gallus,2
Anas carolinensis → Meleagris gallopavo,1
Anas cyanoptera → Meleagris gallopavo,1
Anas platyrhynchos → Gallus gallus,1
Anatidae → Arenaria interpres,1
Anatidae → Numididae,1
Anatidae → Panthera tigris,1
Anatidae → Sus scrofa,1
Arenaria interpres → Aves,1
Aves → Phasianinae,1
Cygnus olor → Anatidae,1
Gallus gallus → Anas carolinensis,1
Gallus gallus → Anas cyanoptera,1
Gallus gallus → Anatidae,1
Gallus gallus → Homo sapiens,1
Gallus gallus → Mareca americana,1
Gallus gallus → Numididae sp.,1
Gallus gallus → Spatula clypeata,1
Gallus gallus → Suricata suricatta,1
Gallus gallus → Sus scrofa,1
Homo sapiens → Anas platyrhynchos,1
Homo sapiens → Cairina moschata,1
Homo sapiens → Meleagris gallopavo,1
Homo sapiens → Mustela putorius furo,1
Homo sapiens → Parus major,1
Homo sapiens → Passer montanus,1
Mareca americana → Anas carolinensis,1
Meleagris gallopavo → Anatidae,1
Mus musculus → Homo sapiens,1
Mustela lutreola → Anas platyrhynchos,1
Mustela lutreola → Panthera tigris,1
Numididae sp. → Spatula discors,1
Panthera tigris → Gallus gallus,1
Panthera tigris → Homo sapiens,1
Panthera tigris → Mustela lutreola,1
Phasianinae → Mustela lutreola,1
