host_shift_type,n
Homo sapiens → Sus scrofa,20
Sus scrofa → Homo sapiens,5
Homo sapiens → Gallus gallus,4
Anatidae → Columbidae,2
Homo sapiens → Mus musculus,2
Mustela lutreola → Panthera tigris,2
Anas platyrhynchos → Cairina moschata,1
Anas platyrhynchos → Gallus gallus,1
Anas platyrhynchos → Mustela lutreola,1
Anatidae → Gallus gallus,1
Anatidae → Phasianinae,1
Anatidae → Sus scrofa,1
Cygnus olor → Anatidae,1
Gallus gallus → Anatidae,1
Gallus gallus → Homo sapiens,1
Gallus gallus → Numididae sp.,1
Gallus gallus → Suricata suricatta,1
Gallus gallus → Sus scrofa,1
Homo sapiens → Anas platyrhynchos,1
Homo sapiens → Anatidae,1
Homo sapiens → Meleagris gallopavo,1
Homo sapiens → Mustela putorius furo,1
Homo sapiens → Parus major,1
Homo sapiens → Passer montanus,1
Mareca americana → Anas carolinensis,1
Mareca americana → Meleagris gallopavo,1
Meleagris gallopavo → Anatidae,1
Meleagris gallopavo → Numididae,1
Panthera tigris → Gallus gallus,1
Phasianinae → Mustela lutreola,1
Spatula clypeata → Anas carolinensis,1
Spatula clypeata → Anas cyanoptera,1
Spatula clypeata → Gallus gallus,1
Spatula clypeata → Spatula discors,1
Sus scrofa → Mareca americana,1
