host_shift_type,n
Homo sapiens → Sus scrofa,14
Homo sapiens → Gallus gallus,4
Anas platyrhynchos → Gallus gallus,2
Homo sapiens → Anatidae,2
Sus scrofa → Homo sapiens,2
Anas cyanoptera → Meleagris gallopavo,1
Anas cyanoptera → Spatula clypeata,1
Anas platyrhynchos → Cairina moschata,1
Anas platyrhynchos → Suricata suricatta,1
Anatidae → Homo sapiens,1
Columbidae → Sus scrofa,1
Gallus gallus → Accipitriformes,1
Gallus gallus → Anas platyrhynchos,1
Gallus gallus → Anatidae,1
Gallus gallus → Arenaria interpres,1
Gallus gallus → Aves,1
Gallus gallus → Homo sapiens,1
Gallus gallus → Mustela lutreola,1
Gallus gallus → Numididae sp.,1
Gallus gallus → Panthera tigris,1
Gallus gallus → Sus scrofa,1
Homo sapiens → Columbidae,1
Homo sapiens → Meleagris gallopavo,1
Homo sapiens → Mus musculus,1
Homo sapiens → Mustela putorius furo,1
Homo sapiens → Passer montanus,1
Mareca americana → Anas carolinensis,1
Meleagris gallopavo → Anas carolinensis,1
Meleagris gallopavo → Anatidae,1
Meleagris gallopavo → Gallus gallus,1
Meleagris gallopavo → Numididae,1
Meleagris gallopavo → Spatula clypeata,1
Mus musculus → Homo sapiens,1
Panthera tigris → Mustela lutreola,1
Spatula clypeata → Gallus gallus,1
Spatula discors → Anas cyanoptera,1
Sus scrofa → Spatula discors,1
