host_shift_type,n
Homo sapiens → Sus scrofa,25
Sus scrofa → Homo sapiens,7
Gallus gallus → Anas platyrhynchos,5
Gallus gallus → Homo sapiens,5
Homo sapiens → Gallus gallus,5
Homo sapiens → Anatidae,4
Gallus gallus → Anatidae,3
Aves → Panthera tigris,2
Gallus gallus → Aves,2
Homo sapiens → Anas platyrhynchos,2
Homo sapiens → Meleagris gallopavo,2
Anas platyrhynchos → Anatidae,1
Anas platyrhynchos → Aves,1
Anas platyrhynchos → Gallus gallus,1
Anas platyrhynchos → Mustela lutreola,1
Anas platyrhynchos → Parus major,1
Anatidae → Aves,1
Anatidae → Columbidae,1
Anatidae → Sus scrofa,1
Arenaria interpres → Aves,1
Aves → Anatidae,1
Aves → Mustela lutreola,1
Aves → Phasianinae,1
Gallus gallus → Accipitridae,1
Gallus gallus → Cairina moschata,1
Gallus gallus → Columbidae,1
Gallus gallus → Meleagris gallopavo,1
Gallus gallus → Numididae sp.,1
Gallus gallus → Panthera tigris,1
Gallus gallus → Suricata suricatta,1
Homo sapiens → Aves,1
Homo sapiens → Felis catus,1
Homo sapiens → Mustela putorius furo,1
Homo sapiens → Passer montanus,1
Mareca americana → Anas carolinensis,1
Meleagris gallopavo → Anas carolinensis,1
Meleagris gallopavo → Gallus gallus,1
Meleagris gallopavo → Mareca americana,1
Meleagris gallopavo → Numididae,1
Meleagris gallopavo → Spatula clypeata,1
Meleagris gallopavo → Spatula discors,1
Mustela lutreola → Gallus gallus,1
Numididae → Anatidae,1
Spatula discors → Anas cyanoptera,1
Spatula discors → Gallus gallus,1
