host_shift_type,n
Homo sapiens → Sus scrofa,24
Sus scrofa → Homo sapiens,21
Gallus gallus → Anatidae,6
Homo sapiens → Gallus gallus,6
Gallus gallus → Homo sapiens,4
Anatidae → Gallus gallus,2
Gallus gallus → Aves,2
Gallus gallus → Sus scrofa,2
Homo sapiens → Mus musculus,2
Anas carolinensis → Spatula discors,1
Anas cyanoptera → Gallus gallus,1
Anatidae → Anas carolinensis,1
Anatidae → Homo sapiens,1
Anatidae → Panthera tigris,1
Anatidae → Parus major,1
Anatidae → Spatula clypeata,1
Arenaria interpres → Meleagris gallopavo,1
Aves → Anas platyrhynchos,1
Aves → Gallus gallus,1
Aves → Meleagris gallopavo,1
Aves → Numididae sp.,1
Cairina moschata → Suricata suricatta,1
Gallus gallus → Columbidae,1
Gallus gallus → Mustela lutreola,1
Gallus gallus → Spatula clypeata,1
Homo sapiens → Anatidae,1
Homo sapiens → Meleagris gallopavo,1
Homo sapiens → Mustela putorius furo,1
Homo sapiens → Passer montanus,1
Homo sapiens → Phasianinae,1
Mareca americana → Anas carolinensis,1
Meleagris gallopavo → Anas cyanoptera,1
Meleagris gallopavo → Aves,1
Meleagris gallopavo → Gallus gallus,1
Mustela lutreola → Panthera tigris,1
Numididae → Arenaria interpres,1
Panthera tigris → Gallus gallus,1
Phasianinae → Mustela lutreola,1
Spatula clypeata → Numididae,1
Spatula discors → Meleagris gallopavo,1
Suricata suricatta → Aves,1
Sus scrofa → Felis catus,1
