host_shift_type,n
Homo sapiens → Sus scrofa,35
Sus scrofa → Homo sapiens,14
Gallus gallus → Homo sapiens,4
Homo sapiens → Gallus gallus,4
Aves → Gallus gallus,2
Aves → Meleagris gallopavo,2
Aves → Spatula clypeata,2
Homo sapiens → Anatidae,2
Accipitriformes → Gallus gallus,1
Anas platyrhynchos → Parus major,1
Anatidae → Anas platyrhynchos,1
Anatidae → Arenaria interpres,1
Anatidae → Gallus gallus,1
Anatidae → Meleagris gallopavo,1
Anatidae → Numididae,1
Aves → Anas cyanoptera,1
Aves → Anatidae,1
Aves → Numididae sp.,1
Aves → Spatula discors,1
Cygnus olor → Sus scrofa,1
Gallus gallus → Anas platyrhynchos,1
Gallus gallus → Anatidae,1
Gallus gallus → Cairina moschata,1
Gallus gallus → Columbidae,1
Gallus gallus → Suricata suricatta,1
Gallus gallus → Sus scrofa,1
Homo sapiens → Meleagris gallopavo,1
Homo sapiens → Mustela putorius furo,1
Homo sapiens → Passer montanus,1
Homo sapiens → Phasianinae,1
Mareca americana → Anas carolinensis,1
Mareca americana → Homo sapiens,1
Panthera tigris → Mustela lutreola,1
Phasianinae → Panthera tigris,1
Spatula clypeata → Anas carolinensis,1
Sus scrofa → Felis catus,1
Sus scrofa → Mareca americana,1
