host_shift_type,n
Homo sapiens → Sus scrofa,24
Homo sapiens → Gallus gallus,7
Sus scrofa → Homo sapiens,7
Gallus gallus → Homo sapiens,5
Gallus gallus → Anatidae,3
Homo sapiens → Anatidae,3
Sus scrofa → Gallus gallus,3
Gallus gallus → Columbidae,2
Meleagris gallopavo → Aves,2
Anas platyrhynchos → Panthera tigris,1
Anatidae → Numididae,1
Anatidae → Psittacidae,1
Aves → Anas cyanoptera,1
Aves → Anatidae,1
Aves → Gallus gallus,1
Aves → Spatula clypeata,1
Columbidae → Aves,1
Columbidae → Sus scrofa,1
Cygnus olor → Anatidae,1
Cygnus olor → Gallus gallus,1
Gallus gallus → Accipitriformes,1
Gallus gallus → Anas platyrhynchos,1
Gallus gallus → Arenaria interpres,1
Gallus gallus → Mustela lutreola,1
Gallus gallus → Numididae sp.,1
Gallus gallus → Panthera tigris,1
Gallus gallus → Spatula discors,1
Gallus gallus → Suricata suricatta,1
Gallus gallus → Sus scrofa,1
Homo sapiens → Anas platyrhynchos,1
Homo sapiens → Meleagris gallopavo,1
Homo sapiens → Mustela putorius furo,1
Homo sapiens → Passer montanus,1
Mareca americana → Anas carolinensis,1
Mareca americana → Anatidae,1
Meleagris gallopavo → Anas carolinensis,1
Meleagris gallopavo → Homo sapiens,1
Mustela lutreola → Anas platyrhynchos,1
Parus major → Mustela lutreola,1
Phasianinae → Parus major,1
Sus scrofa → Cygnus olor,1
Sus scrofa → Mareca americana,1
Sus scrofa → Spatula clypeata,1
