protein,feature_set,model,true,predicted,count
PB2_polymerase,strain_only,RandomForest,Avian,Avian,56
PB2_polymerase,strain_only,RandomForest,Avian,Human,0
PB2_polymerase,strain_only,RandomForest,Avian,Swine,6
PB2_polymerase,strain_only,RandomForest,Human,Avian,33
PB2_polymerase,strain_only,RandomForest,Human,Human,0
PB2_polymerase,strain_only,RandomForest,Human,Swine,94
PB2_polymerase,strain_only,RandomForest,Swine,Avian,4
PB2_polymerase,strain_only,RandomForest,Swine,Human,0
PB2_polymerase,strain_only,RandomForest,Swine,Swine,61
PB2_polymerase,strain_only,LogisticReg,Avian,Avian,56
PB2_polymerase,strain_only,LogisticReg,Avian,Human,0
PB2_polymerase,strain_only,LogisticReg,Avian,Swine,6
PB2_polymerase,strain_only,LogisticReg,Human,Avian,33
PB2_polymerase,strain_only,LogisticReg,Human,Human,0
PB2_polymerase,strain_only,LogisticReg,Human,Swine,94
PB2_polymerase,strain_only,LogisticReg,Swine,Avian,4
PB2_polymerase,strain_only,LogisticReg,Swine,Human,0
PB2_polymerase,strain_only,LogisticReg,Swine,Swine,61
PB2_polymerase,ptm_all,RandomForest,Avian,Avian,51
PB2_polymerase,ptm_all,RandomForest,Avian,Human,9
PB2_polymerase,ptm_all,RandomForest,Avian,Swine,2
PB2_polymerase,ptm_all,RandomForest,Human,Avian,12
PB2_polymerase,ptm_all,RandomForest,Human,Human,113
PB2_polymerase,ptm_all,RandomForest,Human,Swine,2
PB2_polymerase,ptm_all,RandomForest,Swine,Avian,5
PB2_polymerase,ptm_all,RandomForest,Swine,Human,27
PB2_polymerase,ptm_all,RandomForest,Swine,Swine,33
PB2_polymerase,ptm_plus_strain_all,RandomForest,Avian,Avian,52
PB2_polymerase,ptm_plus_strain_all,RandomForest,Avian,Human,8
PB2_polymerase,ptm_plus_strain_all,RandomForest,Avian,Swine,2
PB2_polymerase,ptm_plus_strain_all,RandomForest,Human,Avian,11
PB2_polymerase,ptm_plus_strain_all,RandomForest,Human,Human,113
PB2_polymerase,ptm_plus_strain_all,RandomForest,Human,Swine,3
PB2_polymerase,ptm_plus_strain_all,RandomForest,Swine,Avian,4
PB2_polymerase,ptm_plus_strain_all,RandomForest,Swine,Human,26
PB2_polymerase,ptm_plus_strain_all,RandomForest,Swine,Swine,35
PB2_polymerase,ptm_all,LogisticReg,Avian,Avian,47
PB2_polymerase,ptm_all,LogisticReg,Avian,Human,13
PB2_polymerase,ptm_all,LogisticReg,Avian,Swine,2
PB2_polymerase,ptm_all,LogisticReg,Human,Avian,21
PB2_polymerase,ptm_all,LogisticReg,Human,Human,102
PB2_polymerase,ptm_all,LogisticReg,Human,Swine,4
PB2_polymerase,ptm_all,LogisticReg,Swine,Avian,5
PB2_polymerase,ptm_all,LogisticReg,Swine,Human,27
PB2_polymerase,ptm_all,LogisticReg,Swine,Swine,33
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Avian,44
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Human,11
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Avian,Swine,7
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Human,Avian,18
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Human,Human,105
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Human,Swine,4
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Avian,4
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Human,28
PB2_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Swine,33
PB2_polymerase,ptm_fast,RandomForest,Avian,Avian,13
PB2_polymerase,ptm_fast,RandomForest,Avian,Human,49
PB2_polymerase,ptm_fast,RandomForest,Avian,Swine,0
PB2_polymerase,ptm_fast,RandomForest,Human,Avian,25
PB2_polymerase,ptm_fast,RandomForest,Human,Human,101
PB2_polymerase,ptm_fast,RandomForest,Human,Swine,1
PB2_polymerase,ptm_fast,RandomForest,Swine,Avian,12
PB2_polymerase,ptm_fast,RandomForest,Swine,Human,53
PB2_polymerase,ptm_fast,RandomForest,Swine,Swine,0
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Avian,Avian,56
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Avian,Human,0
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Avian,Swine,6
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Human,Avian,33
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Human,Human,0
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Human,Swine,94
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Swine,Avian,4
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Swine,Human,1
PB2_polymerase,ptm_plus_strain_fast,RandomForest,Swine,Swine,60
PB2_polymerase,ptm_fast,LogisticReg,Avian,Avian,13
PB2_polymerase,ptm_fast,LogisticReg,Avian,Human,49
PB2_polymerase,ptm_fast,LogisticReg,Avian,Swine,0
PB2_polymerase,ptm_fast,LogisticReg,Human,Avian,25
PB2_polymerase,ptm_fast,LogisticReg,Human,Human,101
PB2_polymerase,ptm_fast,LogisticReg,Human,Swine,1
PB2_polymerase,ptm_fast,LogisticReg,Swine,Avian,12
PB2_polymerase,ptm_fast,LogisticReg,Swine,Human,53
PB2_polymerase,ptm_fast,LogisticReg,Swine,Swine,0
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Avian,Avian,56
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Avian,Human,0
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Avian,Swine,6
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Avian,32
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Human,1
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Human,Swine,94
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Avian,4
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Human,1
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,Swine,Swine,60
PB1_polymerase,strain_only,RandomForest,Avian,Avian,52
PB1_polymerase,strain_only,RandomForest,Avian,Human,5
PB1_polymerase,strain_only,RandomForest,Avian,Swine,3
