protein,feature_set,model,n_samples,n_sites_used,n_strain_features,accuracy,balanced_accuracy
PB2_polymerase,strain_only,RandomForest,252,0,3,0.4563,0.6128
PB2_polymerase,strain_only,LogisticReg,252,0,3,0.4563,0.6128
PB2_polymerase,ptm_all,RandomForest,252,40,0,0.7897,0.7485
PB2_polymerase,ptm_plus_strain_all,RandomForest,252,40,3,0.8016,0.7614
PB2_polymerase,ptm_all,LogisticReg,252,40,0,0.7103,0.6793
PB2_polymerase,ptm_plus_strain_all,LogisticReg,252,40,3,0.754,0.7111
PB2_polymerase,ptm_fast,RandomForest,252,3,0,0.5079,0.3418
PB2_polymerase,ptm_plus_strain_fast,RandomForest,252,3,3,0.4563,0.6128
PB2_polymerase,ptm_fast,LogisticReg,252,3,0,0.5079,0.3418
PB2_polymerase,ptm_plus_strain_fast,LogisticReg,252,3,3,0.4524,0.6052
PB1_polymerase,strain_only,RandomForest,233,0,3,0.4807,0.605
PB1_polymerase,strain_only,LogisticReg,233,0,3,0.4807,0.6135
PB1_polymerase,ptm_all,RandomForest,233,24,0,0.6009,0.5327
PB1_polymerase,ptm_plus_strain_all,RandomForest,233,24,3,0.5451,0.6551
PB1_polymerase,ptm_all,LogisticReg,233,24,0,0.6009,0.5324
PB1_polymerase,ptm_plus_strain_all,LogisticReg,233,24,3,0.515,0.6185
PB1_polymerase,ptm_slow,RandomForest,233,5,0,0.5193,0.3758
PB1_polymerase,ptm_plus_strain_slow,RandomForest,233,5,3,0.5451,0.6517
PB1_polymerase,ptm_slow,LogisticReg,233,5,0,0.4678,0.3687
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,233,5,3,0.5408,0.6485
PA_polymerase,strain_only,RandomForest,244,0,3,0.4508,0.6125
PA_polymerase,strain_only,LogisticReg,244,0,3,0.4426,0.6203
PA_polymerase,ptm_all,RandomForest,244,37,0,0.6434,0.5401
PA_polymerase,ptm_plus_strain_all,RandomForest,244,37,3,0.7705,0.7117
PA_polymerase,ptm_all,LogisticReg,244,37,0,0.6434,0.5403
PA_polymerase,ptm_plus_strain_all,LogisticReg,244,37,3,0.7336,0.6913
PA_polymerase,ptm_fast,RandomForest,244,2,0,0.4631,0.33
PA_polymerase,ptm_plus_strain_fast,RandomForest,244,2,3,0.4508,0.6125
PA_polymerase,ptm_fast,LogisticReg,244,2,0,0.4098,0.335
PA_polymerase,ptm_plus_strain_fast,LogisticReg,244,2,3,0.4426,0.6203
NP_protein,strain_only,RandomForest,277,0,3,0.4513,0.6172
NP_protein,strain_only,LogisticReg,277,0,3,0.4513,0.6172
NP_protein,ptm_all,RandomForest,277,28,0,0.7545,0.743
