segment,protein,lambda,logL,p_value
seg1,PB2_polymerase,0.49904938774646973,1924.3814409017132,1.6793283030952987e-16
seg2,PB1-F2,0.7663691014224251,379.53931824882574,1.3802618930063231e-7
seg2,PB1_polymerase,0.2699710926331341,1894.4550407521738,1.3434479737347327e-16
seg3,PA-X,0.13652063441657628,310.8562220667661,0.5090182907041204
seg3,PA_polymerase,0.5674124269664546,1860.6363973147363,1.4146211428544011e-7
seg4,HA_full,0.9650332570982287,4552.252244610816,7.806113556472488e-86
seg5,NP,0.8222473278817433,1933.0639325405302,1.0070991110321924e-28
seg6,NA_neuraminidase,0.6129113766056429,3431.9307192811148,2.7299046920806318e-17
seg7,M1_matrix,0.3442470122206134,2245.7357339562323,1.272746111742468e-10
seg7,M2_ion_channel,0.3595527240437961,2295.823206469522,2.8093836793875224e-17
seg8,NEP,0.4019495385233102,1786.8262711425773,2.1072349250888257e-13
seg8,NS1,0.3865412745199052,2165.273190573606,1.226731764557078e-10
seg8,NS2,0.787803245426266,165.68101872369857,0.005476169034005179
