parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
385,408,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
408,409,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
409,410,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
410,411,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
411,412,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
412,413,Sus scrofa,Spatula clypeata,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
413,414,Spatula clypeata,Anas carolinensis,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
414,415,Anas carolinensis,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
415,416,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
416,417,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
417,418,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
418,419,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
419,420,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
420,421,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
421,422,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
422,423,Unknown,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
423,424,Sus scrofa,Meleagris gallopavo,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
424,425,Meleagris gallopavo,Sus scrofa,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
425,426,Sus scrofa,Mus musculus,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
426,428,Mus musculus,Mus musculus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
428,429,Mus musculus,Homo sapiens,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
433,434,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
434,435,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
436,767,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
767,4,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
767,5,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
436,6,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
430,12,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
428,14,Mus musculus,Mus musculus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
426,427,Mus musculus,Mus musculus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
425,437,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
437,15,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
424,438,Meleagris gallopavo,Meleagris gallopavo,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
438,439,Meleagris gallopavo,Meleagris gallopavo,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
439,440,Meleagris gallopavo,Meleagris gallopavo,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
444,445,Meleagris gallopavo,Anatidae,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
445,18,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
447,23,Meleagris gallopavo,Meleagris gallopavo,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
440,25,Meleagris gallopavo,Spatula clypeata,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
439,448,Meleagris gallopavo,Meleagris gallopavo,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
448,26,Meleagris gallopavo,Unknown,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
448,449,Meleagris gallopavo,Gallus gallus,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
449,450,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
450,451,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
451,27,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
451,28,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
450,29,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
449,30,Gallus gallus,Numididae sp.,TRUE,0,TRUE,Host Shift,seg1,PB2_polymerase
423,452,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
456,32,Aves,Aves,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
454,35,Aves,Aves,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
453,36,Aves,Aves,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
458,459,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
460,461,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
461,462,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
462,463,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
463,464,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
464,465,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
465,466,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
466,37,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
466,467,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
467,38,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
467,468,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
468,469,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
469,40,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
470,42,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
465,471,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
471,43,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
471,44,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
464,472,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg1,PB2_polymerase
