parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
105,115,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
115,125,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
125,128,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
128,130,Aves,Homo sapiens,TRUE,0,TRUE,Host Shift,seg3,PA-X
130,131,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
131,132,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
132,133,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
133,134,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
134,135,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
135,136,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
136,137,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
137,138,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
138,139,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
139,140,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
140,141,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
141,142,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
142,143,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
143,144,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
144,145,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
145,146,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
146,147,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
147,148,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
148,207,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
207,17,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
207,18,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
148,19,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
147,20,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
145,22,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
144,23,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg3,PA-X
143,149,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
149,24,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
149,25,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
140,150,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
150,28,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
150,29,Homo sapiens,Gallus gallus,TRUE,0,TRUE,Host Shift,seg3,PA-X
139,30,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
138,31,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
137,32,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
151,36,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
151,152,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
152,37,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
152,38,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
132,39,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
131,40,Homo sapiens,Anatidae,TRUE,0,TRUE,Host Shift,seg3,PA-X
130,41,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
125,126,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
126,127,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
116,117,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
117,118,Aves,Homo sapiens,TRUE,0,TRUE,Host Shift,seg3,PA-X
118,119,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
119,120,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
120,121,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
118,6,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA-X
122,123,Phasianinae,Phasianinae,FALSE,0,TRUE,No Shift,seg3,PA-X
123,8,Phasianinae,Phasianinae,FALSE,0,TRUE,No Shift,seg3,PA-X
124,10,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
124,11,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
113,112,Aves,Aves,FALSE,0,TRUE,No Shift,seg3,PA-X
112,111,Aves,Anas carolinensis,TRUE,0,TRUE,Host Shift,seg3,PA-X
111,110,Anas carolinensis,Sus scrofa,TRUE,0,TRUE,Host Shift,seg3,PA-X
110,109,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
109,108,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA-X
