parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
673,674,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
675,676,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
676,677,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
678,679,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
679,680,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
684,685,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
686,687,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
687,688,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
690,691,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
691,692,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
692,693,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
693,694,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
694,695,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
695,696,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
698,751,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg3,PA_polymerase
751,288,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
751,289,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
698,290,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
697,291,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
696,292,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
695,293,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
694,294,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
693,295,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
691,297,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
687,301,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
686,302,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg3,PA_polymerase
685,303,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
684,304,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
683,305,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
679,309,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
678,310,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
677,311,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
676,312,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg3,PA_polymerase
675,313,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg3,PA_polymerase
