parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
1108,1109,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1111,1112,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1112,1113,Unknown,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1122,274,Homo sapiens,Anatidae,TRUE,0,TRUE,Host Shift,seg4,HA_full
1120,276,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1129,1130,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1131,286,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1136,288,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1126,1137,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1137,1138,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1138,1139,Homo sapiens,Gallus gallus,TRUE,0,TRUE,Host Shift,seg4,HA_full
1139,1140,Gallus gallus,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1138,1141,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1141,296,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1143,1144,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1144,1145,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1145,1146,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1146,297,Homo sapiens,Anatidae,TRUE,0,TRUE,Host Shift,seg4,HA_full
1146,298,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1125,303,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg4,HA_full
1124,1147,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1147,304,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1147,305,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1114,306,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1113,1148,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1148,1149,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1149,1150,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1150,307,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1150,308,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1149,1151,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1151,309,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1151,310,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1148,311,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1112,312,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1111,313,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1110,314,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg4,HA_full
1109,1152,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1152,315,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1152,316,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1108,317,Homo sapiens,Gallus gallus,TRUE,0,TRUE,Host Shift,seg4,HA_full
1107,318,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg4,HA_full
1106,1153,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg4,HA_full
1155,1156,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg4,HA_full
1156,1157,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg4,HA_full
1155,323,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg4,HA_full
1153,1158,Gallus gallus,Spatula clypeata,TRUE,0,TRUE,Host Shift,seg4,HA_full
1158,1159,Spatula clypeata,Spatula clypeata,FALSE,0,TRUE,No Shift,seg4,HA_full
1159,324,Spatula clypeata,Anas cyanoptera,TRUE,0,TRUE,Host Shift,seg4,HA_full
1159,1160,Spatula clypeata,Spatula clypeata,FALSE,0,TRUE,No Shift,seg4,HA_full
1160,1161,Spatula clypeata,Spatula clypeata,FALSE,0,TRUE,No Shift,seg4,HA_full
1161,325,Spatula clypeata,Spatula clypeata,FALSE,0,TRUE,No Shift,seg4,HA_full
1161,326,Spatula clypeata,Anas carolinensis,TRUE,0,TRUE,Host Shift,seg4,HA_full
1160,1162,Spatula clypeata,Meleagris gallopavo,TRUE,0,TRUE,Host Shift,seg4,HA_full
1162,1163,Meleagris gallopavo,Meleagris gallopavo,FALSE,0,TRUE,No Shift,seg4,HA_full
1163,1164,Meleagris gallopavo,Anatidae,TRUE,0,TRUE,Host Shift,seg4,HA_full
1164,327,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg4,HA_full
1164,328,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg4,HA_full
1163,1165,Meleagris gallopavo,Meleagris gallopavo,FALSE,0,TRUE,No Shift,seg4,HA_full
