parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
401,695,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
700,701,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg5,NP
702,703,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg5,NP
704,705,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
705,706,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
706,707,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
707,708,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg5,NP
708,709,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg5,NP
709,710,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg5,NP
710,711,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
711,712,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
712,713,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
714,715,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
715,716,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
716,717,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
717,718,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
718,719,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
721,722,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
722,723,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
723,724,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
724,725,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
725,726,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
726,727,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
727,728,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
728,729,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
729,730,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
730,731,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
731,732,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
732,733,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
733,734,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
742,743,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
744,745,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
745,746,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
746,747,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
747,799,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
799,275,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
746,278,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
745,279,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
744,280,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
743,281,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
742,282,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
741,283,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
740,284,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
739,285,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
738,286,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
737,287,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg5,NP
736,288,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
735,289,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
734,290,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
733,291,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
732,292,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
731,293,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
730,294,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
729,295,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
728,296,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
727,297,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
726,298,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
725,299,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
724,300,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
723,301,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
722,302,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
721,303,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg5,NP
