parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
636,659,Unknown,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
659,660,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
660,661,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
661,662,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
662,663,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
699,700,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
703,704,Gallus gallus,Homo sapiens,TRUE,0,TRUE,Host Shift,seg6,NA_neuraminidase
1269,39,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
1269,40,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
704,42,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
701,45,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
683,684,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
685,24,Homo sapiens,Gallus gallus,TRUE,0,TRUE,Host Shift,seg6,NA_neuraminidase
685,25,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
690,692,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
692,30,Homo sapiens,Anatidae,TRUE,0,TRUE,Host Shift,seg6,NA_neuraminidase
692,693,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
693,31,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
693,694,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
694,695,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
695,32,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg6,NA_neuraminidase
