parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
487,576,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
576,577,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
577,578,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
578,579,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
579,580,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
580,581,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
581,582,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
582,583,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
583,584,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
584,585,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
585,586,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
586,587,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
587,588,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
588,589,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
589,590,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
590,591,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
591,592,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
592,593,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
593,594,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
594,595,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
595,596,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
596,597,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
597,598,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
598,599,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
599,600,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
600,601,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
601,602,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
602,603,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
603,604,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
604,605,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
605,606,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
606,607,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
607,608,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
608,609,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
609,610,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
610,611,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
611,612,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
612,613,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
613,614,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
614,615,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
615,616,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
616,617,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M1_matrix
617,618,Sus scrofa,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
618,619,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
619,620,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
620,621,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
621,688,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
688,689,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
689,690,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
690,691,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
691,692,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
692,693,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
693,694,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
694,695,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
695,696,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
696,697,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
697,698,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
698,699,Unknown,Anatidae,FALSE,0,TRUE,No Shift,seg7,M1_matrix
699,700,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg7,M1_matrix
700,701,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg7,M1_matrix
701,702,Anatidae,Anatidae,FALSE,0,TRUE,No Shift,seg7,M1_matrix
702,703,Anatidae,Gallus gallus,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
703,704,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg7,M1_matrix
704,705,Gallus gallus,Gallus gallus,FALSE,0,TRUE,No Shift,seg7,M1_matrix
705,706,Gallus gallus,Homo sapiens,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
706,707,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
707,708,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
708,709,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
709,710,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
710,711,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
711,712,Unknown,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
712,713,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
713,714,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
714,715,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
715,716,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
716,717,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
717,718,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
718,719,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
719,720,Unknown,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
720,721,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
721,722,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
722,723,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
723,724,Homo sapiens,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
724,725,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
725,726,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
726,727,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
727,728,Unknown,Cairina moschata,FALSE,0,TRUE,No Shift,seg7,M1_matrix
728,729,Cairina moschata,Suricata suricatta,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
729,730,Suricata suricatta,Aves,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
730,731,Aves,Anas platyrhynchos,TRUE,0,TRUE,Host Shift,seg7,M1_matrix
731,971,Anas platyrhynchos,Anas platyrhynchos,FALSE,0,TRUE,No Shift,seg7,M1_matrix
971,69,Anas platyrhynchos,Anas platyrhynchos,FALSE,0,TRUE,No Shift,seg7,M1_matrix
971,70,Anas platyrhynchos,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
731,71,Anas platyrhynchos,Anas platyrhynchos,FALSE,0,TRUE,No Shift,seg7,M1_matrix
730,72,Aves,Aves,FALSE,0,TRUE,No Shift,seg7,M1_matrix
729,73,Suricata suricatta,Suricata suricatta,FALSE,0,TRUE,No Shift,seg7,M1_matrix
728,74,Cairina moschata,Cairina moschata,FALSE,0,TRUE,No Shift,seg7,M1_matrix
727,75,Unknown,Psittacidae,FALSE,0,TRUE,No Shift,seg7,M1_matrix
726,76,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
725,77,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
724,78,Unknown,Unknown,FALSE,0,TRUE,No Shift,seg7,M1_matrix
723,79,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
722,80,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M1_matrix
