parent,child,parent_state,child_state,host_switch,rate,zero_branch,group,segment,protein
487,571,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
571,572,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg7,M2_ion_channel
572,573,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
573,574,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
574,575,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
575,576,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
576,577,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg7,M2_ion_channel
577,578,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
578,579,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg7,M2_ion_channel
579,580,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
580,581,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
581,582,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
582,583,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
583,584,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
584,585,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
585,586,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
586,587,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg7,M2_ion_channel
587,588,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
588,589,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
589,590,Sus scrofa,Sus scrofa,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
590,591,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg7,M2_ion_channel
591,592,Homo sapiens,Sus scrofa,TRUE,0,TRUE,Host Shift,seg7,M2_ion_channel
592,593,Sus scrofa,Homo sapiens,TRUE,0,TRUE,Host Shift,seg7,M2_ion_channel
593,594,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
594,595,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
595,596,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
596,900,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
900,901,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
901,902,Homo sapiens,Homo sapiens,FALSE,0,TRUE,No Shift,seg7,M2_ion_channel
