Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
YP_006495800,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007359,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",7/10/2012,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,,1,PA-X protein,China,China,,Anatidae,,1996,,PRJNA485481,PA-X protein [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_529486,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007362,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",3/21/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),330,H5N1,4,2,HA1,,,,,,,,PRJNA485481,HA1 [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_529487,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007362,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",3/21/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),222,H5N1,4,2,HA2,,,,,,,,PRJNA485481,HA2 [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_473348,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007358,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",2/3/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),90,H5N1,2,1,PB1-F2 protein,China,China,,Anatidae,,1996,,PRJNA485481,PB1-F2 protein [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308668,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007361,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/30/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,,,2,neuraminidase,,,,,,,,PRJNA485481,neuraminidase [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308664,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007357,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,,,1,polymerase,,,,,,,,PRJNA485481,polymerase [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308665,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007358,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,1,polymerase,China,China,,Anatidae,,1996,,PRJNA485481,polymerase [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308666,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007359,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,,1,polymerase,China,China,,Anatidae,,1996,,PRJNA485481,polymerase [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308667,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007360,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,,,1,nucleocapsid protein,,,,,,,,PRJNA485481,nucleocapsid protein [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
YP_308669,Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),RefSeq,GCF_000864105.1,NC_007362,,"Xu,X., Subbarao, Cox,N.J., Guo,Y., Subbarao,K.",8/26/2005,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,2,hemagglutinin,,,,,,,,PRJNA485481,hemagglutinin [Influenza A virus (A/goose/Guangdong/1/1996(H5N1))]
